event_id,event_time,user_id,session_id,page_type,product_id,campaign_id,device,browser,session_duration_seconds
1,2021-11-22T22:24:27,3393,session_46876,product_detail,23,,tablet,Chrome,1673
2,2023-05-13T09:04:51,,session_20047,category,,,tablet,Samsung Internet,675
3,2023-04-21T22:37:11,4779,session_22739,category,,,mobile,Firefox,818
4,2023-05-30T22:18:22,4763,session_59294,product_detail,42,,desktop,Samsung Internet,1443
5,2021-10-02T13:03:36,,session_95070,home,,,,,1042
6,2022-07-19T07:52:17,,session_55111,checkout,,,mobile,Firefox,1469
7,2023-05-16T07:20:38,1517,session_1110,category,,,mobile,Chrome,60
8,2021-05-04T20:00:56,,session_20082,product_detail,42,987,tablet,Chrome,663
9,2022-04-06T20:31:42,,session_11906,checkout,,,tablet,Safari,220
10,2020-08-18T17:03:03,,session_58387,product_detail,13,,mobile,Samsung Internet,1288
11,2030-01-01T00:00:00,,session_83529,home,,,mobile,Firefox,668
12,2021-07-14T01:38:45,,session_60937,product_detail,26,,desktop,Chrome,102
13,2022-09-24T11:20:05,2290,session_39836,checkout,,,,,498
14,2022-08-15T21:32:16,,session_76949,search,,,mobile,Samsung Internet,1252
15,2020-03-19T04:07:10,,session_39837,category,,,mobile,Firefox,848
16,2022-06-08T16:19:45,,session_46181,category,,,desktop,Safari,197
17,2022-03-18T17:45:19,,session_11106,checkout,,,tablet,Edge,1087
18,2024-08-27T09:49:59,3620,session_41208,home,,,mobile,Chrome,663
19,2023-03-10T08:20:13,3112,session_90285,account,,,tablet,Safari,1596
20,2023-10-23T21:40:30,4523,session_27617,category,,,desktop,Chrome,1029
21,2024-01-24T21:15:47,2463,session_34694,home,,,tablet,Chrome,1508
22,2024-06-28T21:13:58,1627,session_8032,cart,,,desktop,Safari,175
23,2021-04-30T09:29:11,,session_78929,search,,,tablet,Edge,260
24,2021-02-26T02:33:12,,session_25424,checkout,,,desktop,Safari,1293
25,2024-12-15T10:37:10,,session_36407,home,,,mobile,Firefox,1054
26,2023-01-25T07:54:26,,session_81714,category,,,mobile,Edge,754
27,2020-06-23T02:00:27,,session_21211,product_detail,62,,mobile,Edge,1721
28,2021-09-10T17:39:20,,session_85459,account,,,mobile,Chrome,1614
29,2024-08-27T11:18:34,4497,session_33431,product_detail,62,,tablet,Chrome,202
30,2024-07-11T03:11:12,,session_33043,checkout,,,desktop,Edge,862
31,2023-05-19T07:08:41,,session_29150,checkout,,,tablet,Safari,1144
32,2024-01-14T05:00:28,,session_97837,search,,,mobile,Firefox,547
33,2022-12-30T05:01:50,,session_3025,product_detail,8,,tablet,Edge,1746
34,2024-04-30T22:16:44,,session_179,search,,,mobile,Chrome,1110
35,2024-04-22T11:58:37,,session_8454,home,,,mobile,Samsung Internet,351
36,2022-05-08T02:52:17,846,session_14412,product_detail,52,319,desktop,Samsung Internet,370
37,2030-01-01T00:00:00,4708,session_29805,account,,,desktop,Chrome,248
38,2022-09-25T08:46:39,,session_71142,cart,,,mobile,Edge,1525
39,2022-05-27T17:44:44,,session_99141,checkout,,,tablet,Chrome,1718
40,2020-08-04T19:37:32,,session_39476,product_detail,31,1040,desktop,Chrome,1041
41,2020-06-08T11:29:30,,session_73770,product_detail,42,,tablet,Safari,1162
42,2020-04-22T22:54:56,,session_21111,search,,,mobile,Samsung Internet,1765
43,2021-06-28T14:22:05,,session_21136,checkout,,,desktop,Samsung Internet,1625
44,2021-05-22T11:37:15,,session_30136,cart,,,tablet,Safari,313
45,2024-04-18T09:37:54,,session_19660,product_detail,39,,mobile,Firefox,792
46,2021-09-22T17:31:31,1348,session_28152,account,,,mobile,Edge,1621
47,2021-10-12T03:15:37,3999,session_79398,cart,,,desktop,Edge,1391
48,2020-01-01T03:58:58,,session_85157,product_detail,42,,tablet,Firefox,815
49,2023-12-17T21:11:42,,session_40216,home,,,desktop,Chrome,1373
50,2024-10-18T17:43:41,3573,session_41179,checkout,,,tablet,Safari,908
51,2022-03-06T20:42:27,3309,session_473,category,,,mobile,Chrome,1305
52,2024-02-12T00:07:28,822,session_79571,cart,,,tablet,Chrome,960
53,2023-12-20T01:58:17,,session_61903,product_detail,19,,desktop,Samsung Internet,1673
54,2021-11-30T15:35:01,,session_87255,search,,,desktop,Firefox,726
55,2021-11-04T00:06:35,4998,session_72113,home,,,tablet,Samsung Internet,698
56,2023-11-09T12:56:31,,session_74115,cart,,,mobile,Chrome,1054
57,2020-10-28T03:18:54,,session_26207,category,,,desktop,Safari,711
58,2023-06-09T12:04:04,,session_42033,category,,,tablet,Samsung Internet,1793
59,2020-12-16T13:54:18,,session_75677,cart,,,desktop,Firefox,1580
60,2022-10-30T18:14:32,1054,session_58385,home,,,desktop,Edge,1758
61,2024-03-15T14:43:07,,session_4796,home,,,mobile,Firefox,1707
62,2023-02-01T20:12:24,,session_55546,category,,,mobile,Safari,1513
63,2021-04-10T21:19:59,714,session_53705,category,,,mobile,Chrome,488
64,2022-10-04T22:31:40,,session_11561,search,,,desktop,Firefox,760
65,2023-10-13T20:56:55,,session_76129,search,,,mobile,Chrome,1782
66,2030-01-01T00:00:00,,session_95725,account,,,desktop,Samsung Internet,1358
67,2022-08-26T19:30:31,,session_64827,cart,,,tablet,Samsung Internet,106
68,2020-02-09T03:25:20,,session_31985,account,,,mobile,Edge,1703
69,2021-10-19T09:56:59,30,session_32252,category,,,tablet,Samsung Internet,1280
70,2022-05-11T21:09:47,,session_22008,account,,,desktop,Safari,1113
71,2022-08-29T13:20:22,,session_12952,account,,,tablet,Safari,1538
72,2021-10-08T10:28:57,,session_22348,home,,,,,1313
73,2020-10-13T19:16:15,,session_51169,product_detail,13,1052,mobile,Firefox,175
74,2020-01-24T16:50:40,,session_38739,search,,,tablet,Samsung Internet,1020
75,2020-03-24T11:10:22,,session_96837,home,,,tablet,Samsung Internet,646
76,2022-09-11T06:25:58,,session_70500,category,,,desktop,Safari,954
77,2020-09-10T00:53:43,,session_18362,home,,,mobile,Edge,1453
78,2021-05-23T15:08:14,,session_58743,category,,,tablet,Edge,1384
79,2024-07-06T22:05:28,,session_26328,checkout,,,mobile,Edge,891
80,2021-10-18T04:35:00,,session_58017,account,,,tablet,Safari,1660
81,2020-09-06T20:40:44,4931,session_69324,cart,,,mobile,Chrome,1465
82,2022-07-17T00:54:18,3386,session_51501,checkout,,,desktop,Chrome,426
83,2022-06-27T10:33:10,2052,session_10032,search,,,tablet,Chrome,550
84,2022-05-25T01:36:44,,session_61054,category,,,tablet,Safari,857
85,2021-03-14T16:27:06,,session_98425,product_detail,32,437,tablet,Samsung Internet,1324
86,2021-07-10T22:36:42,,session_42586,cart,,,,,1733
87,2024-07-27T14:18:24,,session_53041,checkout,,,mobile,Chrome,1294
88,2022-08-31T19:42:01,,session_32563,account,,,desktop,Edge,1785
89,2030-01-01T00:00:00,2657,session_73861,home,,,tablet,Firefox,1402
90,2023-01-14T17:34:14,,session_15787,search,,,mobile,Safari,1755
91,2021-07-15T18:28:20,,session_3333,home,,,mobile,Chrome,337
92,2022-08-15T15:15:33,,session_5278,search,,,mobile,Firefox,619
93,2021-06-20T01:57:19,,session_93139,search,,,tablet,Edge,630
94,2023-04-03T05:38:37,,session_58069,search,,,mobile,Samsung Internet,620
95,2024-05-05T03:23:29,3114,session_6894,category,,,tablet,Chrome,1445
96,2020-11-04T20:56:37,,session_74737,cart,,,desktop,Firefox,1119
97,2022-01-15T16:58:12,2280,session_92197,cart,,,mobile,Firefox,199
98,2022-11-13T11:15:46,3186,session_21187,category,,,mobile,Samsung Internet,1348
99,2024-06-30T14:13:26,,session_29269,checkout,,,mobile,Chrome,1498
100,2022-07-16T09:25:42,959,session_83618,product_detail,20,,tablet,Edge,967
101,2022-08-18T05:26:17,,session_63091,cart,,,mobile,Safari,204
102,2023-07-14T09:55:33,,session_89631,checkout,,,tablet,Samsung Internet,1638
103,2022-02-05T02:41:37,,session_65691,category,,,tablet,Safari,1515
104,2022-06-08T16:25:42,,session_74949,product_detail,59,81,desktop,Firefox,664
105,2022-03-30T16:36:29,,session_65539,checkout,,,mobile,Edge,282
106,2023-05-07T17:58:43,,session_88382,search,,,mobile,Firefox,1350
107,2023-11-10T18:42:40,,session_72897,home,,,mobile,Safari,447
108,2023-12-29T02:05:51,,session_48151,account,,,mobile,Firefox,884
109,2021-08-29T13:18:13,,session_89462,cart,,,desktop,Firefox,372
110,2023-08-03T16:26:44,,session_67654,cart,,,,,183
111,2022-03-08T11:29:44,3779,session_38124,account,,,mobile,Edge,795
112,2021-08-14T23:12:51,,session_301,search,,,desktop,Safari,1794
113,2021-01-16T06:55:41,,session_95900,home,,,tablet,Safari,1608
114,2022-10-23T14:07:51,,session_20867,search,,,,,1074
115,2023-01-28T10:27:44,4560,session_4289,account,,,desktop,Safari,502
116,2023-12-01T14:41:54,4753,session_53484,category,,,mobile,Edge,1630
117,2024-11-23T01:14:23,2786,session_45635,cart,,,tablet,Samsung Internet,90
118,2024-12-18T14:33:23,,session_14954,product_detail,30,,tablet,Safari,1480
119,2021-06-17T11:35:53,,session_17654,category,,,mobile,Firefox,152
120,2021-04-14T13:06:14,,session_87550,account,,,desktop,Samsung Internet,441
121,2024-03-10T23:32:05,3233,session_5652,search,,,desktop,Firefox,1366
122,2020-05-09T14:47:42,,session_84537,cart,,,mobile,Chrome,1693
123,2024-01-23T06:08:04,809,session_77798,category,,,tablet,Safari,1531
124,2024-01-11T11:23:24,,session_47437,search,,,tablet,Edge,1313
125,2024-02-20T08:23:02,,session_99829,category,,,desktop,Edge,-787
126,2023-07-18T03:09:32,,session_24534,product_detail,2,473,desktop,Edge,1312
127,2023-09-26T22:58:48,,session_846,product_detail,53,82,tablet,Samsung Internet,579
128,2023-10-02T23:12:24,,session_40535,category,,,desktop,Edge,1491
129,2023-02-22T07:00:09,,session_23394,product_detail,44,,mobile,Edge,878
130,2022-09-10T17:10:29,4394,session_48380,category,,,desktop,Samsung Internet,156
131,2021-12-14T00:21:07,3035,session_22364,checkout,,,tablet,Safari,1244
132,2024-02-27T22:06:54,2469,session_10073,category,,,mobile,Firefox,1505
133,2024-05-12T06:03:56,,session_16167,search,,,tablet,Safari,897
134,2023-01-04T18:32:47,,session_52241,account,,,mobile,Samsung Internet,1583
135,2020-05-14T06:33:58,,session_31830,account,,,tablet,Edge,1295
