transaction_id,user_id,product_id,transaction_date,quantity,price,subtotal,tax,shipping,discount,discount_code,total,payment_method,status,campaign_id,created_at
1,1,63,2024-07-01T00:00:00,1,23,79,6.32,0,0,,85.32,apple_pay,completed,593,2024-07-01T00:00:00
1,1,59,2024-07-01T00:00:00,1,12,79,6.32,0,0,,85.32,apple_pay,completed,593,2024-07-01T00:00:00
1,1,56,2024-07-01T00:00:00,1,44,79,6.32,0,0,,85.32,apple_pay,completed,593,2024-07-01T00:00:00
2,1,18,2024-08-29T00:00:00,1,1137,1674,133.92,0,0,,1807.92,debit_card,completed,,2024-08-29T00:00:00
2,1,17,2024-08-29T00:00:00,1,537,1674,133.92,0,0,,1807.92,debit_card,completed,,2024-08-29T00:00:00
3,1,61,2024-11-12T00:00:00,1,24,24,1.92,8.0,0,,33.92,credit_card,completed,,2024-11-12T00:00:00
4,1,14,2024-09-10T00:00:00,1,1019,1019,81.52,0,0,,1100.52,debit_card,completed,,2024-09-10T00:00:00
5,1,27,2024-08-31T00:00:00,1,30,1229,98.32,0,188.58,VIP15,1138.74,credit_card,cancelled,1344,2024-08-31T00:00:00
5,1,18,2024-08-31T00:00:00,1,1137,1229,98.32,0,188.58,VIP15,1138.74,credit_card,cancelled,1344,2024-08-31T00:00:00
5,1,26,2024-08-31T00:00:00,1,32,1229,98.32,0,188.58,VIP15,1138.74,credit_card,cancelled,1344,2024-08-31T00:00:00
5,1,27,2024-08-31T00:00:00,1,30,1229,98.32,0,188.58,VIP15,1138.74,credit_card,cancelled,1344,2024-08-31T00:00:00
6,1,30,2024-08-31T00:00:00,1,73,73,5.84,0,0,,78.84,paypal,completed,,2024-08-31T00:00:00
7,1,14,2024-08-17T00:00:00,1,1019,3704,296.32,0,469.68,FLASH20,3530.6400000000003,google_pay,completed,1218,2024-08-17T00:00:00
7,1,14,2024-08-17T00:00:00,1,1019,3704,296.32,0,469.68,FLASH20,3530.6400000000003,google_pay,completed,1218,2024-08-17T00:00:00
7,1,8,2024-08-17T00:00:00,1,467,3704,296.32,0,469.68,FLASH20,3530.6400000000003,google_pay,completed,1218,2024-08-17T00:00:00
7,1,40,2024-08-17T00:00:00,1,62,3704,296.32,0,469.68,FLASH20,3530.6400000000003,google_pay,completed,1218,2024-08-17T00:00:00
7,1,18,2024-08-17T00:00:00,1,1137,3704,296.32,0,469.68,FLASH20,3530.6400000000003,google_pay,completed,1218,2024-08-17T00:00:00
8,1,50,2024-09-03T00:00:00,1,-168,0,0.0,8.0,0,,8.0,paypal,completed,,2024-09-03T00:00:00
1,1,28,2024-12-31T00:00:00,1,173,308,24.64,0,60.5,SAVE10,272.14,paypal,completed,665,2024-12-31T00:00:00
1,1,38,2024-12-31T00:00:00,1,135,308,24.64,0,60.5,SAVE10,272.14,paypal,completed,665,2024-12-31T00:00:00
10,1,57,2024-10-05T00:00:00,1,38,1175,94.0,0,0,,1269.0,paypal,completed,,2024-10-05T00:00:00
10,1,18,2024-10-05T00:00:00,1,1137,1175,94.0,0,0,,1269.0,paypal,completed,,2024-10-05T00:00:00
11,1,47,2024-12-07T00:00:00,1,377,377,30.16,0,0,,407.16,credit_card,completed,,2024-12-07T00:00:00
12,1,46,2024-09-14T00:00:00,1,371,371,29.68,0,0,,400.68,credit_card,completed,336,2024-09-14T00:00:00
13,2,10,2023-09-05T00:00:00,1,412,824,65.92,0,48.07,WELCOME,841.8499999999999,apple_pay,completed,,2023-09-05T00:00:00
13,2,10,2023-09-05T00:00:00,1,412,824,65.92,0,48.07,WELCOME,841.8499999999999,apple_pay,completed,,2023-09-05T00:00:00
14,2,60,2023-06-22T00:00:00,1,30,63,5.04,0,0,,68.04,debit_card,completed,417,2023-06-22T00:00:00
14,2,53,2023-06-22T00:00:00,1,33,63,5.04,0,0,,68.04,debit_card,completed,417,2023-06-22T00:00:00
15,3,44,2023-10-27T00:00:00,1,236,236,18.88,0,0,,254.88,apple_pay,completed,1130,2023-10-27T00:00:00
16,4,27,2024-02-07T00:00:00,1,30,30,2.4,8.0,0,,40.4,debit_card,completed,,2024-02-07T00:00:00
17,4,4,2023-04-12T00:00:00,1,562,1074,85.92,0,0,,1159.92,debit_card,completed,,2023-04-12T00:00:00
17,4,11,2023-04-12T00:00:00,1,232,1074,85.92,0,0,,1159.92,debit_card,completed,,2023-04-12T00:00:00
17,4,13,2023-04-12T00:00:00,1,280,1074,85.92,0,0,,1159.92,debit_card,completed,,2023-04-12T00:00:00
18,4,33,2024-11-02T00:00:00,1,110,471,37.68,0,0,,508.68,google_pay,completed,,2024-11-02T00:00:00
18,4,13,2024-11-02T00:00:00,1,280,471,37.68,0,0,,508.68,google_pay,completed,,2024-11-02T00:00:00
18,4,37,2024-11-02T00:00:00,1,81,471,37.68,0,0,,508.68,google_pay,completed,,2024-11-02T00:00:00
19,4,27,2023-05-23T00:00:00,1,30,30,2.4,8.0,0,,40.4,debit_card,completed,,2023-05-23T00:00:00
20,4,13,2024-02-28T00:00:00,1,280,3126,250.08,0,0,,3376.08,debit_card,completed,497,2024-02-28T00:00:00
20,4,17,2024-02-28T00:00:00,1,537,3126,250.08,0,0,,3376.08,debit_card,completed,497,2024-02-28T00:00:00
20,4,9,2024-02-28T00:00:00,1,1172,3126,250.08,0,0,,3376.08,debit_card,completed,497,2024-02-28T00:00:00
