campaign_id,campaign_name,campaign_type,platform,product_id,start_date,end_date,budget,actual_spend,impressions,clicks,created_at
1,Video - Twitter - Oct2024,Video,Twitter,12,2024-10-13,2024-12-18,61682,46839.81,16722869,982248,2024-10-08T00:00:00
2,Video - Twitter - Oct2024,Video,Twitter,41,2024-10-13,2024-12-18,61682,46839.81,16722869,982248,2024-10-11T00:00:00
3,Search - Facebook - Mar2021,Search,Facebook,46,2021-03-31,2021-05-02,74937,80026.78,14505311,523634,2021-03-19T00:00:00
4,Display - TikTok - Dec2020,Display,TikTok,27,2020-12-07,2020-12-28,26982,28066.51,3734734,229591,2020-12-04T00:00:00
5,Display - TikTok - Dec2020,Display,TikTok,39,2020-12-07,2020-12-28,26982,28066.51,3734734,229591,2020-11-27T00:00:00
6,Email - LinkedIn - Nov2022,Email,LinkedIn,43,2022-11-30,2023-02-20,6546,5932.08,1577714,30106,2022-11-22T00:00:00
7,Email - LinkedIn - Nov2022,Email,LinkedIn,9,2022-11-30,2023-02-20,6546,5932.08,1577714,30106,2022-11-16T00:00:00
8,Email - LinkedIn - Nov2022,Email,LinkedIn,21,2022-11-30,2023-02-20,6546,5932.08,1577714,30106,2022-11-24T00:00:00
9,Email - LinkedIn - Nov2022,Email,LinkedIn,35,2022-11-30,2023-02-20,6546,5932.08,1577714,30106,2022-11-25T00:00:00
10,Email - LinkedIn - Nov2022,Email,LinkedIn,60,2022-11-30,2023-02-20,6546,5932.08,1577714,30106,2022-11-23T00:00:00
11,Video - Facebook - Sep2021,Video,Facebook,32,2021-09-12,2021-09-26,70182,71807.91,20074289,1256435,2021-09-02T00:00:00
12,Video - Facebook - Sep2021,Video,Facebook,58,2021-09-12,2021-09-26,70182,71807.91,20074289,1256435,2021-09-04T00:00:00
13,Video - Facebook - Sep2021,Video,Facebook,26,2021-09-12,2021-09-26,70182,71807.91,20074289,1256435,2021-09-08T00:00:00
14,Video - Facebook - Sep2021,Video,Facebook,6,2021-09-12,2021-09-26,70182,71807.91,20074289,1256435,2021-08-31T00:00:00
15,Video - Facebook - Nov2021,Video,Facebook,3,2021-11-18,2021-12-20,134974,140390.73,32141988,1683116,2021-11-04T00:00:00
16,Influencer - Facebook - Jul2024,Influencer,Facebook,22,2024-07-13,2024-08-07,70928,79271.1,-18288589,1371618,2024-07-04T00:00:00
17,Influencer - Facebook - Jul2024,Influencer,Facebook,24,2024-07-13,2024-08-07,70928,79271.1,-18288589,1371618,2024-07-11T00:00:00
18,Search - Twitter - Nov2023,Search,Twitter,29,2023-11-30,2023-12-15,27272,25310.14,5160035,200701,2023-11-16T00:00:00
19,Search - Twitter - Nov2023,Search,Twitter,50,2023-11-30,2023-12-15,27272,25310.14,5160035,200701,2023-11-28T00:00:00
20,Display - Twitter - Oct2024,Display,Twitter,21,2024-10-17,2024-10-26,11318,11854.41,933790,50561,2024-10-07T00:00:00
21,Display - Twitter - Oct2024,Display,Twitter,27,2024-10-17,2024-10-26,11318,11854.41,933790,50561,2024-10-09T00:00:00
22,Social Media - Facebook - Apr2023,Social Media,Facebook,20,2023-04-28,2023-06-19,35142,26490.17,2743146,218210,2023-04-23T00:00:00
23,Video - YouTube - Nov2020,Video,YouTube,42,2020-11-08,2020-12-12,30541,22062.56,3047835,152886,2020-10-28T00:00:00
24,Video - YouTube - Nov2020,Video,YouTube,14,2020-11-08,2020-12-12,30541,22062.56,3047835,152886,2020-11-02T00:00:00
25,Video - YouTube - Nov2020,Video,YouTube,20,2020-11-08,2020-12-12,30541,22062.56,3047835,152886,2020-11-02T00:00:00
26,Video - YouTube - Nov2020,Video,YouTube,22,2020-11-08,2020-12-12,30541,22062.56,3047835,152886,2020-10-29T00:00:00
27,Video - YouTube - Nov2020,Video,YouTube,52,2020-11-08,2020-12-12,30541,22062.56,3047835,152886,2020-10-27T00:00:00
28,Display - LinkedIn - Oct2020,Display,LinkedIn,1,2020-10-15,2020-12-05,9843,11272.22,2065110,143375,2020-10-11T00:00:00
29,Display - LinkedIn - Oct2020,Display,LinkedIn,18,2020-10-15,2020-12-05,9843,11272.22,2065110,143375,2020-10-02T00:00:00
30,Display - LinkedIn - Oct2020,Display,LinkedIn,46,2020-10-15,2020-12-05,9843,11272.22,2065110,143375,2020-10-03T00:00:00
31,Display - LinkedIn - Oct2020,Display,LinkedIn,23,2020-10-15,2020-12-05,9843,11272.22,2065110,143375,2020-10-03T00:00:00
32,Influencer - TikTok - Apr2020,Influencer,TikTok,42,2020-04-19,2020-06-21,36599,39807.35,7289238,264626,2020-04-07T00:00:00
33,Influencer - TikTok - Apr2020,Influencer,TikTok,16,2020-04-19,2020-06-21,36599,39807.35,7289238,264626,2020-04-10T00:00:00
34,Influencer - TikTok - Apr2020,Influencer,TikTok,9,2020-04-19,2020-06-21,36599,39807.35,7289238,264626,2020-04-17T00:00:00
35,Video - LinkedIn - Jan2020,Video,LinkedIn,17,2020-01-23,2020-04-14,36580,29406.81,5873497,209847,2020-01-11T00:00:00
